cylinders;displacement;horsepower;weight;acceleration;model_year;CombustivelPredito
4;91.0;53.0;1795;17.4;76;30.606602
4;120.0;79.0;2625;18.6;82;30.937365
6;232.0;100.0;2634;13.0;71;21.048904
8;318.0;150.0;3940;13.2;76;14.121838
8;318.0;150.0;4237;14.5;73;13.470102
4;97.0;88.0;2100;16.5;72;24.374348
4;140.0;92.0;2865;16.4;82;29.221304
8;440.0;215.0;4735;11.0;73;11.992093
8;260.0;110.0;4060;19.0;77;16.482681
6;200.0;;2875;17.0;74;15.383792
8;390.0;190.0;3850;8.5;70;13.489367
4;91.0;67.0;1965;15.0;82;32.960464
4;91.0;70.0;1955;20.5;71;31.818111
8;304.0;150.0;3892;12.5;72;16.139961
4;140.0;75.0;2542;17.0;74;24.633116
8;383.0;180.0;4955;11.5;71;12.813471
4;112.0;85.0;2575;16.2;82;30.425447
6;163.0;125.0;3140;13.6;78;19.43303
8;400.0;180.0;4220;11.1;77;16.071241
4;91.0;68.0;1970;17.6;82;38.399597
4;121.0;76.0;2511;18.0;72;22.896135
6;198.0;95.0;2833;15.5;70;18.350073
6;232.0;112.0;2835;14.7;82;28.122015
4;98.0;83.0;2075;15.9;77;28.739178
8;307.0;130.0;3504;12.0;70;16.352835
4;97.0;52.0;2130;24.6;82;34.64036
4;98.0;90.0;2265;15.5;73;24.211454
4;151.0;88.0;2740;16.0;77;25.278458
6;258.0;120.0;3410;15.1;78;19.62149
8;400.0;167.0;4906;12.5;73;11.455103
4;140.0;86.0;2790;15.6;82;27.0991
4;105.0;74.0;1980;15.3;82;31.730188
8;350.0;125.0;3900;17.4;79;18.497337
4;113.0;95.0;2278;15.5;72;24.369036
4;86.0;65.0;2019;16.4;80;44.09293
8;400.0;230.0;4278;9.5;73;13.256069
6;155.0;107.0;2472;14.0;73;22.676596
8;305.0;145.0;3425;13.2;78;18.204853
8;318.0;150.0;4498;14.5;75;14.151251
4;98.0;83.0;2219;16.5;74;25.354664
6;173.0;115.0;2700;12.9;79;26.629284
4;97.0;60.0;1834;19.0;71;27.60887
4;121.0;112.0;2933;14.5;72;19.868416
8;360.0;215.0;4615;14.0;70;11.783881
4;120.0;97.0;2506;14.5;72;22.45867
4;120.0;88.0;2160;14.5;82;32.526936
4;116.0;75.0;2246;14.0;74;25.73925
4;121.0;115.0;2671;13.5;75;23.496614
4;104.0;95.0;2375;17.5;70;24.05849
4;90.0;71.0;2223;16.5;75;27.118832
4;140.0;72.0;2408;19.0;71;21.474234
4;86.0;65.0;1975;15.2;79;29.474874
4;107.0;72.0;2290;17.0;80;33.486076
8;400.0;190.0;4422;12.5;72;12.498149
6;173.0;110.0;2725;12.6;81;26.979715
8;400.0;175.0;4464;11.5;71;12.984281
8;360.0;150.0;3940;13.0;79;15.438136
4;134.0;90.0;2711;15.5;80;26.388638
4;140.0;90.0;2264;15.5;71;23.13173
6;225.0;95.0;3264;16.0;75;19.78695
8;350.0;180.0;3664;11.0;73;13.311011
4;91.0;53.0;1795;17.5;75;30.59584
4;140.0;83.0;2639;17.0;75;25.074205
4;120.0;87.0;2979;19.5;72;17.447622
6;198.0;95.0;2904;16.0;73;18.913765
4;113.0;95.0;2228;14.0;71;24.650494
4;151.0;85.0;2855;17.6;78;21.410154
4;98.0;65.0;2045;16.2;81;33.05121
4;98.0;60.0;2164;22.1;76;26.940372
8;307.0;130.0;4098;14.0;72;14.474709
4;105.0;63.0;2215;14.9;81;35.569687
8;304.0;150.0;4257;15.5;74;14.286796
8;429.0;198.0;4341;10.0;70;13.936663
6;258.0;110.0;2962;13.5;71;19.173157
6;181.0;110.0;2945;16.4;82;28.720898
8;260.0;110.0;3365;15.5;78;20.30334
6;250.0;110.0;3520;16.4;77;19.23113
4;112.0;88.0;2605;19.6;82;28.86753
4;90.0;70.0;1937;14.0;75;28.976618
8;305.0;130.0;3840;15.4;79;16.710463
8;304.0;150.0;3433;12.0;70;17.875317
4;97.0;88.0;2130;14.5;70;27.002897
4;91.0;68.0;2025;18.2;82;38.791744
4;91.0;60.0;1800;16.4;78;36.399963
4;115.0;95.0;2694;15.0;75;22.666653
8;400.0;175.0;4385;12.0;72;12.446489
4;78.0;52.0;1985;19.4;78;38.6295
4;98.0;65.0;2380;20.7;81;34.930195
4;97.0;88.0;2279;19.0;73;23.106073
8;429.0;198.0;4952;11.5;73;11.909581
8;400.0;190.0;4325;12.2;77;16.84394
3;70.0;100.0;2420;12.5;80;38.54747
4;116.0;75.0;2158;15.5;73;26.516691
4;79.0;58.0;1825;18.6;77;33.038963
6;156.0;108.0;2930;15.5;76;22.434195
4;105.0;63.0;2125;14.7;82;38.78242
4;135.0;84.0;2525;16.0;82;30.653612
6;231.0;115.0;3245;15.4;79;21.352636
4;156.0;105.0;2800;14.4;80;28.242022
8;318.0;150.0;4077;14.0;72;13.784485
